Sid	Symbol	Splice_type	Exons	Start_exon	End_exon	N.lineage	Anova.p (lineage subtype)	Anova.p (molecular subtype)	Num.mRNA	Cor.mRNA	Num.protein	Cor.protein	N.drug	Cor.drug
AAAS_ES_7_6_8	AAAS	ES	7	6	8	50	0.842314970451467	0.395076904176329	51	-0.0775565610859728	30	0.0220244716351502	26	0.66017094017094
AACS_ES_18_17_19	AACS	ES	18	17	19	50	0.147232519866185	0.277302380336734	51	0.143438914027149	30	0.265406006674082	26	0.655384615384615
AAGAB_AD_2.2_2.1_3	AAGAB	AD	2.2	2.1	3	50	0.518742399378135	0.870582178684803	51	-0.0377384103809343	30	-0.177995328724077	26	-0.698922903017134
AASDH_ES_12_11.1_13	AASDH	ES	12	11.1	13	50	0.791701330815273	0.691052007842539	51	0.157891164522609	NA	NA	26	0.716045326698153
ABCA2_AA_4.1:4.2:4.3:4.4:4.5_3_4.6	ABCA2	AA	4.1:4.2:4.3:4.4:4.5	3	4.6	50	0.30248295866188	0.00765160763387324	51	-0.0640738478410107	22	0.137210615471485	26	0.874188034188034
ABCA4_ES_15_14_16	ABCA4	ES	15	14	16	50	0.69241166736331	0.764238013411602	50	0.54501659520297	NA	NA	25	0.667918817597137
ABCB9_ES_10_9_11	ABCB9	ES	10	9	11	50	0.476842141796829	0.545438283836038	51	-0.0101357466063348	NA	NA	20	-0.721804511278195
ABCB9_ME_9|10_8_11	ABCB9	ME	9|10	8	11	50	0.824998704191803	0.30091643365996	51	-0.0309235337831839	NA	NA	26	0.671379315171498
ABCC12_ES_18_17.2_19	ABCC12	ES	18	17.2	19	50	0.0869773282984062	0.157190206545431	41	0.416152310247994	NA	NA	21	-0.67240154893324
ABCD3_ES_2_1_3	ABCD3	ES	2	1	3	50	0.905500210922405	0.344116040285628	51	0.22928120551582	30	0.324137931034483	25	0.637692307692308
ABCD4_ES_3_2_4.1	ABCD4	ES	3	2	4.1	50	0.37894625741945	0.828084972966513	51	-0.0541176470588235	22	0.474872953133823	25	-0.640769230769231
ABCD4_ES_8.2_7_9	ABCD4	ES	8.2	7	9	50	0.898791497830491	0.285772205577101	51	0.207873303167421	22	0.26369282891022	26	-0.692307692307692
ABCD4_RI_18.2_18.1_18.3	ABCD4	RI	18.2	18.1	18.3	50	0.898779562156288	0.285771019364907	51	0.115568225555043	22	-0.171089779785432	26	0.660625757646332
ABHD1_ES_4_3_5	ABHD1	ES	4	3	5	50	0.562176163216044	0.344618022922762	51	0.485772095325324	NA	NA	25	0.72544794388669
ABHD11_ES_4_3_5	ABHD11	ES	4	3	5	50	0.791701330815271	0.691052007842554	51	0.221860223138754	30	0.0909899888765295	26	0.666324786324786
ABHD12B_ES_2_1_3	ABHD12B	ES	2	1	3	50	0.117988667363691	0.0145015757562253	46	0.491674524116926	NA	NA	22	-0.756595411220714
